Mã hàng,Mã vạch,Tên hàng,ĐVT,Parent_SKU
TAM2177,8938531003844,5 Plus Catchy Cá ngừ và gà trong thạch 70g (TP0174),Túi,
TAM2178,8859160400098,Nekko cá ngừ dạng thạch 70g (gói),Gói,
TAM2178,497655585823480,,Thùng,
TAM2179,8859160400104,Nekko cá ngừ rắc thịt gà dạng thạch 70g (gói),Gói,
TAM2179,497655585823490,,Thùng,
TAM2180,8859160400111,Nekko cá ngừ rắc thanh cua dạng thạch 70g (gói),Gói,
TAM2180,497655585823489,,Thùng,
TAM2181,8859160400128,Nekko cá ngừ rắc cá bào dạng thạch 70g (gói),Gói,
TAM2181,497655585823482,,Thùng,
TAM2182,8859160400319,Nekko cá ngừ rắc phô mai dạng thạch 70g (gói),Gói,
TAM2182,497655585823488,,Thùng,
TAM2183,8859160400333,Nekko cá ngừ rắc cá cơm sữa dạng thạch 70g (gói),Gói,
TAM2183,497655585823484,,Thùng,
TAM2184,8859160400340,Nekko cá ngừ rắc tôm và sò điệp dạng thạch 70g (gói),Gói,
TAM2184,497655585823492,,Thùng,
TAM2185,8859160400326,Nekko cá ngừ rắc trứng hấp và rong biển dạng thạch 70g (gói),Gói,
TAM2185,497655585823494,,Thùng,
TAM2186,8859160400784,Nekko cá ngừ kèm nước sốt 70g (gói),Gói,
TAM2186,497655585823481,,Thùng,
TAM2187,8859160400807,Nekko cá ngừ rắc thịt gà kèm nước sốt 70g (gói),Gói,
TAM2187,497655585823491,,Thùng,
TAM2188,8859160400814,Nekko cá ngừ rắc cá hồi kèm nước sốt 70g (gói),Gói,
TAM2188,497655585823486,,Thùng,
TAM2189,8859160400821,Nekko cá ngừ rắc cá tráp kèm nước sốt 70g (gói),Gói,
TAM2189,497655585823487,,Thùng,
TAM2190,8859160402054,Nekko cá ngừ  thanh cua kèm nước sốt 70g (gói),Gói,
TAM2190,497655585823479,,Thùng,
TAM2191,8859160400791,Nekko cá ngừ rắc tôm và sò điệp kèm nước sốt 70g (gói),Gói,
TAM2191,497655585823493,,Thùng,
TAM2192,8859160402030,Nekko cá ngừ rắc cá cơm sữa kèm nước sốt 70g (gói),Gói,
TAM2192,497655585823485,,Thùng,
TAM2193,8859160402047,Nekko cá ngừ rắc cá bào kèm nước sốt 70g (gói),Gói,
TAM2193,497655585823483,,Thùng,
TAM2194,8859160400449,Nekko cho mèo con vị cá ngừ 70g (gói),Gói,
TAM2194,497655585823503,,Thùng,
TAM2195,8859160400432,Nekko cho mèo con vị gà 70g (gói),Gói,
TAM2195,497655585823506,,Thùng,
TAM2196,8859160400975,Nekko cho mèo con vị cá ngừ và sữa dê 70g (gói),Gói,
TAM2196,497655585823505,,Thùng,
TAM2197,8859160400982,Nekko cho mèo con vị cá ngừ và cá hồi 70g (gói),Gói,
TAM2197,497655585823504,,Thùng,
TAM2198,8859160402634,Nekko cho mèo con cá hồi dạng kem 70g (gói),Gói,
TAM2198,497655585823495,,Thùng,
TAM2199,8859160402627,Nekko cho mèo con thịt gà dạng kem 70g (gói),Gói,
TAM2199,497655585823502,,Thùng,
TAM2200,8859160402597,Nekko cho mèo con cá ngừ dạng kem 70g (gói),Gói,
TAM2200,497655585823496,,Thùng,
TAM2201,8859160402603,Nekko cho mèo con cá ngừ trộn cá hồi dạng kem 70g (gói),Gói,
TAM2201,497655585823501,,Thùng,
TAM2202,8859160402610,Nekko cho mèo con cá ngừ trộn cá bào dạng kem 70g (gói),Gói,
TAM2202,497655585823500,,Thùng,
TAM2203,8859160402641,Nekko cho mèo con cá ngừ kèm nước sốt 70g (gói),Gói,
TAM2203,497655585823497,,Thùng,
TAM2204,8859160402658,Nekko cho mèo con cá ngừ rắc cá hồi kèm nước sốt 70g (gói),Gói,
TAM2204,497655585823498,,Thùng,
